6.7 3.3 5.7 2.5 Iris-virginica
6.1 2.8 4.7 1.2 Iris-virginica
5.5 2.6 4.4 1.2 Iris-virginica
7.2 3.2 6.0 1.8 Iris-virginica
5.4 3.4 1.7 0.2 Iris-setosa
4.8 3.1 1.6 0.2 Iris-setosa
4.5 2.3 1.3 0.3 Iris-setosa
6.4 2.8 5.6 2.2 Iris-virginica
5.1 3.8 1.6 0.2 Iris-setosa
5.7 2.9 4.2 1.3 Iris-virginica
5.7 3.0 4.2 1.2 Iris-virginica
5.0 2.3 3.3 1.0 Iris-virginica
5.2 3.5 1.5 0.2 Iris-setosa
6.5 3.0 5.2 2.0 Iris-virginica
5.6 3.0 4.1 1.3 Iris-virginica
6.7 3.0 5.0 1.7 Iris-virginica
6.3 2.5 5.0 1.9 Iris-virginica
5.1 3.4 1.5 0.2 Iris-setosa
